"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"03768399999","2014-01-01","51.505278","0.055278","5.79","CITY, UK","  49.5","24","  44.1","24","9999.9"," 0","999.9"," 0","  5.7","24"," 13.5","24"," 20.0"," 34.0","  53.6","*","  44.6","*","99.99"," ","999.9","010000"
"03768399999","2014-01-02","51.505278","0.055278","5.79","CITY, UK","  49.4","24","  42.6","24","9999.9"," 0","999.9"," 0","  5.8","19"," 10.5","24"," 14.0"," 24.1","  51.8","*","  44.6","*","99.99"," ","999.9","010110"
"03768399999","2014-01-03","51.505278","0.055278","5.79","CITY, UK","  49.4","24","  40.8","24","9999.9"," 0","999.9"," 0","  5.6","24"," 14.6","24"," 25.1"," 35.9","  51.8","*","  46.4","*","99.99"," ","999.9","010110"
"03768399999","2014-01-04","51.505278","0.055278","5.79","CITY, UK","  47.7","24","  41.4","24","9999.9"," 0","999.9"," 0","  6.1","24"," 11.2","24"," 19.0"," 39.0","  50.0","*","  41.0","*","99.99"," ","999.9","010000"
"03768399999","2014-01-05","51.505278","0.055278","5.79","CITY, UK","  44.6","24","  39.1","24","9999.9"," 0","999.9"," 0","  5.8","22","  9.1","24"," 17.1"," 29.9","  55.4","*","  39.2","*","99.99"," ","999.9","010110"
"03768399999","2014-01-06","51.505278","0.055278","5.79","CITY, UK","  53.8","24","  45.2","24","9999.9"," 0","999.9"," 0","  6.0","24"," 16.3","24"," 21.0"," 31.1","  57.2","*","  50.0","*","99.99"," ","999.9","010000"
"03768399999","2014-01-07","51.505278","0.055278","5.79","CITY, UK","  51.9","24","  43.6","24","9999.9"," 0","999.9"," 0","  6.0","24"," 14.7","24"," 21.0"," 34.0","  53.6","*","  48.2","*","99.99"," ","999.9","010110"
"03768399999","2014-01-08","51.505278","0.055278","5.79","CITY, UK","  50.2","24","  44.5","24","9999.9"," 0","999.9"," 0","  6.0","19","  8.6","24"," 13.0","999.9","  53.6","*","  48.2","*","99.99"," ","999.9","010000"
"03768399999","2014-01-09","51.505278","0.055278","5.79","CITY, UK","  49.1","24","  41.0","24","9999.9"," 0","999.9"," 0","  6.2","20"," 14.6","24"," 21.0"," 35.0","  55.4","*","  42.8","*","99.99"," ","999.9","010000"
"03768399999","2014-01-10","51.505278","0.055278","5.79","CITY, UK","  45.9","24","  39.6","24","9999.9"," 0","999.9"," 0","  6.2","18","  8.4","24"," 12.0","999.9","  51.8","*","  41.0","*","99.99"," ","999.9","010000"
"03768399999","2014-01-11","51.505278","0.055278","5.79","CITY, UK","  45.1","24","  38.6","24","9999.9"," 0","999.9"," 0","  6.1","23","  7.4","24"," 15.0","999.9","  48.2","*","  35.6","*","99.99"," ","999.9","010000"
"03768399999","2014-01-12","51.505278","0.055278","5.79","CITY, UK","  40.6","24","  37.4","24","9999.9"," 0","999.9"," 0","  5.3","24","  5.7","24"," 11.1","999.9","  50.0","*","  33.8","*","99.99"," ","999.9","010000"
